category,title,company,location,work_model,salary_text,date_posted,company_size,h1b_sponsored,is_new_grad,qualifications,url
Data_Engineer,DATABASE SPECIALIST,State of Arkansas,"Education
Employment",,$60K-$99K /yr,2025-12-05,5001-10000,,,"1. A bachelor’s degree in computer science, information technology, or a related field. 2. Basic understanding of database principles, including relational database management and data integrity. 3. Proficiency in SQL and database query writing. 4. Familiarity with common database management systems (e.g., SQL Server, Oracle, MySQL). 5. Strong attention to detail and ability to accurately input and verify data. ...",https://jobright.ai/jobs/info/6933a9e7a0dde7020e2f04ec?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Data Migrations Specialist,Clio,CAD62400-CAD84400 /yr,Hybrid,,2025-12-05,,,,"1. High output, analytical, and skilled Data Migrations Specialist 2. Technical expertise in data migration sessions 3. Troubleshooting expert 4. Deep empathy for ensuring that employees and customers' needs are understood 5. Ability to manage multiple client cases at a time with strict observance of associated tasks and deadlines ...",https://jobright.ai/jobs/info/69339473f131d96e4846491a?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,DATA ENGINEER (ECONOMIC RESEARCH),"Electronics
Energy",El Paso Electric Company,,$69K-$94K /yr,2025-12-05,,,,"1. Bachelor’s degree or higher in Computer Science, Engineering, Mathematics, Statistics or a related field. 2. 0-3 or more years of experience. 3. PowerBI and SQL for accessing and wrangling data experience required. 4. Understanding of relational database management systems (RDBMS), data modeling, and data warehousing. 5. Assist in the development of data warehousing solutions. ...",https://jobright.ai/jobs/info/6933708bf131d96e484635be?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Software & Data Engineer - Palantir Foundry,"Aerospace
National Security",Ursa Major,,$90K-$115K /yr,2025-12-05,,,,"1. US Citizenship or Permanent Residency 2. 1-5 years of professional software development experience 3. 1+ years of data engineering experience 4. Hands-on, professional experience with Palantir Foundry",https://jobright.ai/jobs/info/6933877df131d96e48464202?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Data Infrastructure Engineer,XPENG,"Automotive
Autonomous Vehicles",,$124K-$210K /yr,2025-12-05,,,,"1. BS in Analytics, Computer Science, Mathematics or related fields (or relevant experience) 2. 1+ years industrial experience in the related field 3. Proficient in both written and spoken English and Mandarin 4. Passionate about autonomous driving technology 5. Familiar with SQL and some prior experience with Python ...",https://jobright.ai/jobs/info/693385f8a0dde7020e2eed90?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,EXPEDITED-SVN-US97-2025-035 Project Associate (Data & Admin),,IOM GLOBAL OFFICE WASHINGTON DC,,"$5,508.33-$5,508.33 /mon",2025-12-05,11-50,,,,https://jobright.ai/jobs/info/6933565df131d96e48462255?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Data Engineer,IBM,Hybrid,,$175K-$190K /yr,2025-12-05,,,,"1. Master’s degree or equivalent in Computer Science, Engineering or related (employer will accept a Bachelor's degree plus five (5) years of progressive experience in lieu of a Master’s degree) 2. one (1) year of experience as a Data Engineer, Data Analyst or related 3. One (1) year of experience must include utilizing MySQL, PostgreSQL, Apache Cassandra, Power BI, Tableau",https://jobright.ai/jobs/info/69335170a0dde7020e2ec8ff?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,"Associate Director, Analytics","Analytics
Biotechnology",Payer Sciences,,$72K-$109K /yr,2025-12-05,51-100,,,"1. 0-3 years of professional experience 2. Hands-on experience with SQL and Python or R 3. Foundational exposure to cloud platforms (Snowflake, Redshift, Azure), ETL/ELT tools, APIs, and Git 4. Bachelor’s degree in Computer Science, Data Engineering, Analytics or other related discipline 5. Understanding of relational data models and data transformation concepts ...",https://jobright.ai/jobs/info/693362eb764507023d1b51b3?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Associate Analytics Engineer,AssetMark,Hybrid,,$81K-$99K /yr,2025-12-05,,,,"1. Solid proficiency in SQL (Structured Query Language) 2. Familiarity with data transformation tools, preferably dbt (data build tool) 3. Understanding of data warehousing concepts (e.g., dimensional modeling/Kimball) 4. Excellent communication skills with the ability to clearly articulate technical concepts and requirements to both technical and non-technical stakeholders 5. Problem-solving and critical thinking skills to investigate and resolve data issues ...",https://jobright.ai/jobs/info/69336c0aa0dde7020e2edcbf?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,junior Data Engineer,AARATECH,"Austin, TX",,$60K-$70K /yr,2025-12-05,11-50,,,"1. 0–2 years experience in data engineering or related field 2. Basic SQL and Python skills 3. Familiarity with databases, ETL concepts, and data pipelines 4. Strong analytical and problem-solving skills 5. Eagerness to learn and work collaboratively",https://jobright.ai/jobs/info/69335927764507023d1b496c?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
