category,title,company,location,work_model,salary_text,date_posted,company_size,h1b_sponsored,is_new_grad,qualifications,url
Data_Engineer,Ai & Data Engineer,"Electrical Distribution
Energy",Fayetteville Public Works Commission,,$79165.72-$104300.84 /yr,2025-12-06,501-1000,,,"1. Proficiency in SQL, Python, and PySpark. 2. Experience with data pipeline development and AI/ML applications. 3. Knowledge of data warehousing, data lake architecture, and Oracle Fusion Analytics. 4. Familiarity with machine learning, AI, and Generative AI technologies. 5. Strong analytical, problem-solving, and communication skills. ...",https://jobright.ai/jobs/info/69348c2ba0dde7020e2f5c40?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Data Engineer Analyst,Lincoln Financial,Hybrid,,$69K-$125K /yr,2025-12-06,5001-10000,,,"1. 4 Year/Bachelor's degree or equivalent work experience (4 years of experience in lieu of Bachelor's) in Data Engineering (Minimum Required) 2. 1 - 3+ Years of data engineering experience, which can include internships while completing a degree. 3. Working knowledge of AWS services EKS, EC2, S3, Cloudwatch and others 4. Working knowledge of code based CICD ETL programs using Gitlab with AWS 5. Foundational knowledge of Dataiku or similar Data Science Modelling and Automation Platforms ...",https://jobright.ai/jobs/info/691ad5f2bcdbf3560c9dae92?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Data Engineer Graduate (Data Platform - Global Live) - 2026 Start (MS),TikTok,"San Jose, CA",,$119K-$259K /yr,2025-12-06,,,,"1. Currently pursuing a Master's in Software Development, Computer Science, Computer Engineering, Mathematics, Statistics, Data science or a related technical discipline 2. Good experience in data solutions, such as data consulting, product development, and data tools creation. 3. Strong problem-solving and analytical skills with the ability to translate business needs into technical solutions and data metrics. 4. Have an understanding of data warehousing and the construction ideas of the data s",https://jobright.ai/jobs/info/68cb954cba798c1a501d23c5?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,"Research Scientist Graduate, (Distributed NoSQL Database Systems) - 2026 Start (PhD)","Content
Data Mining",ByteDance,,$129960-$246240 /yr,2025-12-06,,,,"1. Final year or recent graduate with a background in software development, computer science, computer engineering, or related technical discipline. 2. Ph.D. in Computer Science or related fields with strong database systems or AI research experience. 3. Proficiency in one or more programming languages (C, C++, Java, Go, Python, Rust) with strong coding skills in a Linux environment. 4. Deep understanding of database principles, distributed system design, and multi-threaded programming, with han",https://jobright.ai/jobs/info/68cba46d9e3a822f5d249b19?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Software Engineer Graduate (Monetization Data) - 2026 Start (BS/MS),TikTok,"San Jose, CA",,$119K-$187K /yr,2025-12-06,,,,"1. Bachelor's degree in Computer Science, Engineering, or a related field. 2. Strong knowledge of SQL and experience working with relational and non-relational databases. 3. Proficiency in programming languages such as Python, Java, Go etc. 4. Solid understanding of data modeling and data warehousing concepts, data integration and ETL/ELT techniques. 5. Effective communication skills and ability to collaborate effectively with cross-functional teams. ...",https://jobright.ai/jobs/info/6917cd4c15b415636717ba98?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Data Engineer/Scientist,"Indoor Positioning
Mapping Services",Trimble Inc.,,$88K-$116K /yr,2025-12-06,,,,"1. Bachelor's degree in Computer Science, Engineering, Information Systems, or a related quantitative field. 2. Hands on experience in the field working with data leveraging ETL operations, ML creation and management, and LLM tools. 3. Foundational knowledge of database concepts and proficiency in SQL for data querying and manipulation. 4. Proficiency in at least one programming language, preferably Python, for scripting and data processing tasks. 5. A conceptual understanding of data warehousin",https://jobright.ai/jobs/info/69340b56a0dde7020e2f3d4e?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,DATABASE SPECIALIST,State of Arkansas,"Education
Employment",,$60K-$99K /yr,2025-12-05,5001-10000,,,"1. A bachelor’s degree in computer science, information technology, or a related field. 2. Basic understanding of database principles, including relational database management and data integrity. 3. Proficiency in SQL and database query writing. 4. Familiarity with common database management systems (e.g., SQL Server, Oracle, MySQL). 5. Strong attention to detail and ability to accurately input and verify data. ...",https://jobright.ai/jobs/info/6933a9e7a0dde7020e2f04ec?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Data Migrations Specialist,Clio,CAD62400-CAD84400 /yr,Hybrid,,2025-12-05,,,,"1. High output, analytical, and skilled Data Migrations Specialist 2. Technical expertise in data migration sessions 3. Troubleshooting expert 4. Deep empathy for ensuring that employees and customers' needs are understood 5. Ability to manage multiple client cases at a time with strict observance of associated tasks and deadlines ...",https://jobright.ai/jobs/info/69339473f131d96e4846491a?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,DATA ENGINEER (ECONOMIC RESEARCH),"Electronics
Energy",El Paso Electric Company,,$69K-$94K /yr,2025-12-05,,,,"1. Bachelor’s degree or higher in Computer Science, Engineering, Mathematics, Statistics or a related field. 2. 0-3 or more years of experience. 3. PowerBI and SQL for accessing and wrangling data experience required. 4. Understanding of relational database management systems (RDBMS), data modeling, and data warehousing. 5. Assist in the development of data warehousing solutions. ...",https://jobright.ai/jobs/info/6933708bf131d96e484635be?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Software & Data Engineer - Palantir Foundry,"Aerospace
National Security",Ursa Major,,$90K-$115K /yr,2025-12-05,,,,"1. US Citizenship or Permanent Residency 2. 1-5 years of professional software development experience 3. 1+ years of data engineering experience 4. Hands-on, professional experience with Palantir Foundry",https://jobright.ai/jobs/info/6933877df131d96e48464202?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Data Infrastructure Engineer,XPENG,"Automotive
Autonomous Vehicles",,$124K-$210K /yr,2025-12-05,,,,"1. BS in Analytics, Computer Science, Mathematics or related fields (or relevant experience) 2. 1+ years industrial experience in the related field 3. Proficient in both written and spoken English and Mandarin 4. Passionate about autonomous driving technology 5. Familiar with SQL and some prior experience with Python ...",https://jobright.ai/jobs/info/693385f8a0dde7020e2eed90?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,EXPEDITED-SVN-US97-2025-035 Project Associate (Data & Admin),,IOM GLOBAL OFFICE WASHINGTON DC,,"$5,508.33-$5,508.33 /mon",2025-12-05,11-50,,,,https://jobright.ai/jobs/info/6933565df131d96e48462255?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Data Engineer,IBM,Hybrid,,$175K-$190K /yr,2025-12-05,,,,"1. Master’s degree or equivalent in Computer Science, Engineering or related (employer will accept a Bachelor's degree plus five (5) years of progressive experience in lieu of a Master’s degree) 2. one (1) year of experience as a Data Engineer, Data Analyst or related 3. One (1) year of experience must include utilizing MySQL, PostgreSQL, Apache Cassandra, Power BI, Tableau",https://jobright.ai/jobs/info/69335170a0dde7020e2ec8ff?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,"Associate Director, Analytics","Analytics
Biotechnology",Payer Sciences,,$72K-$109K /yr,2025-12-05,51-100,,,"1. 0-3 years of professional experience 2. Hands-on experience with SQL and Python or R 3. Foundational exposure to cloud platforms (Snowflake, Redshift, Azure), ETL/ELT tools, APIs, and Git 4. Bachelor’s degree in Computer Science, Data Engineering, Analytics or other related discipline 5. Understanding of relational data models and data transformation concepts ...",https://jobright.ai/jobs/info/693362eb764507023d1b51b3?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Associate Analytics Engineer,AssetMark,Hybrid,,$81K-$99K /yr,2025-12-05,,,,"1. Solid proficiency in SQL (Structured Query Language) 2. Familiarity with data transformation tools, preferably dbt (data build tool) 3. Understanding of data warehousing concepts (e.g., dimensional modeling/Kimball) 4. Excellent communication skills with the ability to clearly articulate technical concepts and requirements to both technical and non-technical stakeholders 5. Problem-solving and critical thinking skills to investigate and resolve data issues ...",https://jobright.ai/jobs/info/69336c0aa0dde7020e2edcbf?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,junior Data Engineer,AARATECH,"Austin, TX",,$60K-$70K /yr,2025-12-05,11-50,,,"1. 0–2 years experience in data engineering or related field 2. Basic SQL and Python skills 3. Familiarity with databases, ETL concepts, and data pipelines 4. Strong analytical and problem-solving skills 5. Eagerness to learn and work collaboratively",https://jobright.ai/jobs/info/69335927764507023d1b496c?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Data Systems Coordinator,Michigan Afterschool Partnership,Hybrid,,$45K-$50K /yr,2025-12-05,11-50,,,"1. At least one year of related experience in data management and reporting 2. Proficiency in Microsoft Suite, Google Workspace, and virtual collaboration tools; comfort using databases and CRM systems. 3. Strong organizational skills and ability to manage multiple priorities, meetings, and deadlines. 4. Commitment to equity and expanding OST access for Michigan youth. 5. Works effectively in remote settings. ...",https://jobright.ai/jobs/info/693329eea0dde7020e2eaf1a?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Data Scientist/Engineer - Experienced or Recent Grad (Health Tech Startup) 🚀,United States,Remote,,$55K-$130K /yr,2025-12-05,1-10,,,"1. BS or MS in Computer Science, Mathematics, Data Science or other STEM field from a competitive university program. 2. At least one successful live project you can demonstrate or 3 prior substantial projects outside of a classroom setting, such as from an internship, personal interest, or business venture. 3. Relevant work with at least 2 years with a single employer and at least one major successful implementation you can discuss. 4. Proficiency with Python and its data science ecosystem, sta",https://jobright.ai/jobs/info/69330b6ef131d96e4845f637?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,SQL Developer,Berkshire Hathaway GUARD Insurance Companies,Hybrid,,"$65,00-$125,00 /yr",2025-12-05,501-1000,,,1. Proficiency in T-SQL or similar relational database development. 2. Experience with an object-oriented language (C# or Java preferred). 3. Basic understanding of version control systems (Git preferred). 4. Strong communication and problem-solving skills. 5. Ability to adapt to changing priorities in an Agile environment. ...,https://jobright.ai/jobs/info/691fea98a49a885af9a355a6?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Software Engineer Graduate (Data Arch - Data Ecosystem ) - 2026 (PhD),TikTok,"San Jose, CA",,$119K-$259K /yr,2025-12-05,,,,"1. PhD or Master’s degree in Computer Science or related technical field. 2. Experience building large-scale distributed systems, preferably in storage, stream processing, or ML infrastructure. 3. Solid understanding of Apache Flink internals, with hands-on experience in state management, connectors, or UDFs. 4. Familiarity with modern Lakehouse technologies such as Apache Paimon, Iceberg, Delta Lake, or Hudi, especially around incremental ingestion, schema evolution, and snapshot isolation.",https://jobright.ai/jobs/info/68cd81301ad6b16f0289a807?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
